| 州名                | 2020   | 2021   | 2022   | 2023   |
|---------------------|--------|--------|--------|--------|
| 阿拉巴马 (Alabama)  | 4,908  | 4,921  | 4,934  | 4,949  |
| 阿拉斯加 (Alaska)   | 731    | 733    | 733    | 733    |
| 亚利桑那 (Arizona)  | 7,421  | 7,520  | 7,591  | 7,650  |
| 阿肯色 (Arkansas)   | 3,038  | 3,048  | 3,058  | 3,067  |
| 加州 (California)   | 39,368 | 39,142 | 38,940 | 38,965 |
| 科罗拉多 (Colorado)| 5,807  | 5,841  | 5,868  | 5,877  |
| 康涅狄格 (Connecticut)| 3,571 | 3,563 | 3,557  | 3,553  |
| 特拉华 (Delaware)   | 989    | 1,003  | 1,018  | 1,031  |
| 佛罗里达 (Florida)  | 21,733 | 22,005 | 22,245 | 22,611 |
| 乔治亚 (Georgia)    | 10,711 | 10,799 | 10,912 | 11,029 |
| 夏威夷 (Hawaii)     | 1,407  | 1,416  | 1,421  | 1,423  |
| 爱达荷 (Idaho)      | 1,900  | 1,939  | 1,975  | 2,000  |
| 伊利诺伊 (Illinois) | 12,671 | 12,582 | 12,518 | 12,549 |
| 印第安纳 (Indiana)  | 6,785  | 6,813  | 6,833  | 6,862  |
| 爱荷华 (Iowa)       | 3,163  | 3,174  | 3,182  | 3,190  |
| 堪萨斯 (Kansas)     | 2,913  | 2,921  | 2,932  | 2,940  |
| 肯塔基 (Kentucky)   | 4,477  | 4,502  | 4,518  | 4,531  |
| 路易斯安那 (Louisiana)| 4,645 | 4,624  | 4,590  | 4,573  |
| 缅因 (Maine)        | 1,350  | 1,362  | 1,377  | 1,391  |
| 马里兰 (Maryland)   | 6,055  | 6,065  | 6,079  | 6,101  |
| 马萨诸塞 (Massachusetts)| 6,893 | 6,922 | 6,960  | 6,981  |
| 密歇根 (Michigan)   | 9,987  | 9,992  | 10,034 | 10,034 |
| 明尼苏达 (Minnesota)| 5,657  | 5,707  | 5,737  | 5,761  |
| 密西西比 (Mississippi)| 2,966 | 2,962  | 2,960  | 2,961  |
| 密苏里 (Missouri)   | 6,151  | 6,169  | 6,184  | 6,196  |
| 蒙大拿 (Montana)    | 1,086  | 1,104  | 1,119  | 1,132  |
| 内布拉斯加 (Nebraska)| 1,934 | 1,951  | 1,967  | 1,978  |
| 内华达 (Nevada)     | 3,155  | 3,185  | 3,229  | 3,270  |
| 新罕布什尔 (New Hampshire)| 1,366 | 1,377 | 1,388  | 1,395  |
| 新泽西 (New Jersey) | 8,882  | 8,870  | 8,870  | 8,878  |
| 新墨西哥 (New Mexico)| 2,105 | 2,111  | 2,113  | 2,114  |
| 纽约 (New York)     | 19,825 | 19,571 | 19,453 | 19,571 |
| 北卡罗来纳 (North Carolina)| 10,488 | 10,657 | 10,807 | 10,835 |
| 北达科他 (North Dakota)| 765   | 774    | 779    | 783    |
| 俄亥俄 (Ohio)       | 11,654 | 11,658 | 11,691 | 11,785 |
| 俄克拉荷马 (Oklahoma)| 3,963 | 3,991  | 4,020  | 4,053  |
| 俄勒冈 (Oregon)     | 4,241  | 4,268  | 4,281  | 4,240  |
| 宾夕法尼亚 (Pennsylvania)| 12,783 | 12,805 | 12,823 | 12,962 |
| 罗德岛 (Rhode Island)| 1,058 | 1,061  | 1,067  | 1,072  |
| 南卡罗来纳 (South Carolina)| 5,149 | 5,231 | 5,307  | 5,373  |
| 南达科他 (South Dakota)| 887   | 896    | 907    | 919    |
| 田纳西 (Tennessee)  | 6,897  | 7,005  | 7,126  | 7,126  |
| 德州 (Texas)        | 29,472 | 29,730 | 30,097 | 30,503 |
| 犹他 (Utah)         | 3,283  | 3,363  | 3,426  | 3,458  |
| 佛蒙特 (Vermont)    | 623    | 624    | 626    | 647    |
| 弗吉尼亚 (Virginia) | 8,590  | 8,642  | 8,683  | 8,715  |
| 华盛顿 (Washington) | 7,693  | 7,740  | 7,785  | 7,812  |
| 西弗吉尼亚 (West Virginia)| 1,784 | 1,774 | 1,756  | 1,770  |
| 威斯康星 (Wisconsin)| 5,832  | 5,868  | 5,892  | 5,910  |
| 怀俄明 (Wyoming)    | 577    | 578    | 581    | 584    |
| 华盛顿特区 (D.C.)   | 689    | 671    | 671    | 678    |
